#Top: design_1_wrapper   Floorplan: synth_1   Part: xc7z020clg400-1
#Generated by: Mati   on: Wed Dec 27 13:51:47 2023
#Build: Vivado v2023.2   by: xbuild   on: Fri Oct 13 20:14:34 MDT 2023
#Package Version: FINAL 2012-06-26
#Package Pin Delay Version: VERS. 2.0 2012-06-26

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 5 unassigned signals in this design. The last 5 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
502,F4,IOPAD_X1Y17,PS_DDR_A14_502,77.784,78.565,,DDR_54576,DDR_addr[14],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,D4,IOPAD_X1Y18,PS_DDR_A13_502,96.091,97.056,,DDR_54576,DDR_addr[13],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,E4,IOPAD_X1Y16,PS_DDR_A12_502,92.368,93.296,,DDR_54576,DDR_addr[12],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,G4,IOPAD_X1Y15,PS_DDR_A11_502,65.067,65.721,,DDR_54576,DDR_addr[11],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,F5,IOPAD_X1Y14,PS_DDR_A10_502,86.071,86.936,,DDR_54576,DDR_addr[10],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,J4,IOPAD_X1Y13,PS_DDR_A9_502,73.426,74.164,,DDR_54576,DDR_addr[9],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,K1,IOPAD_X1Y12,PS_DDR_A8_502,63.676,64.316,,DDR_54576,DDR_addr[8],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,K4,IOPAD_X1Y11,PS_DDR_A7_502,66.244,66.910,,DDR_54576,DDR_addr[7],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,L4,IOPAD_X1Y10,PS_DDR_A6_502,71.260,71.976,,DDR_54576,DDR_addr[6],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,L1,IOPAD_X1Y9,PS_DDR_A5_502,63.370,64.007,,DDR_54576,DDR_addr[5],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,M4,IOPAD_X1Y8,PS_DDR_A4_502,97.538,98.519,,DDR_54576,DDR_addr[4],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,K3,IOPAD_X1Y7,PS_DDR_A3_502,62.947,63.579,,DDR_54576,DDR_addr[3],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,M3,IOPAD_X1Y6,PS_DDR_A2_502,63.841,64.483,,DDR_54576,DDR_addr[2],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,K2,IOPAD_X1Y5,PS_DDR_A1_502,63.927,64.569,,DDR_54576,DDR_addr[1],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,N2,IOPAD_X1Y4,PS_DDR_A0_502,76.692,77.463,,DDR_54576,DDR_addr[0],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,W5,IOPAD_X1Y71,PS_DDR_DQS_P3_502,111.823,112.947,,DDR_54576,DDR_dqs_p[3],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,R2,IOPAD_X1Y70,PS_DDR_DQS_P2_502,89.381,90.280,,DDR_54576,DDR_dqs_p[2],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,G2,IOPAD_X1Y69,PS_DDR_DQS_P1_502,64.059,64.703,,DDR_54576,DDR_dqs_p[1],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,C2,IOPAD_X1Y68,PS_DDR_DQS_P0_502,102.905,103.939,,DDR_54576,DDR_dqs_p[0],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,V3,IOPAD_X1Y63,PS_DDR_DQ31_502,97.591,98.572,,DDR_54576,DDR_dq[31],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,V2,IOPAD_X1Y62,PS_DDR_DQ30_502,101.790,102.814,,DDR_54576,DDR_dq[30],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,W3,IOPAD_X1Y61,PS_DDR_DQ29_502,106.021,107.087,,DDR_54576,DDR_dq[29],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,Y2,IOPAD_X1Y60,PS_DDR_DQ28_502,103.407,104.447,,DDR_54576,DDR_dq[28],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,Y4,IOPAD_X1Y59,PS_DDR_DQ27_502,105.977,107.043,,DDR_54576,DDR_dq[27],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,W1,IOPAD_X1Y58,PS_DDR_DQ26_502,109.265,110.363,,DDR_54576,DDR_dq[26],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,Y3,IOPAD_X1Y57,PS_DDR_DQ25_502,107.498,108.578,,DDR_54576,DDR_dq[25],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,V1,IOPAD_X1Y56,PS_DDR_DQ24_502,102.959,103.993,,DDR_54576,DDR_dq[24],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,U3,IOPAD_X1Y55,PS_DDR_DQ23_502,103.510,104.550,,DDR_54576,DDR_dq[23],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,U2,IOPAD_X1Y54,PS_DDR_DQ22_502,93.967,94.911,,DDR_54576,DDR_dq[22],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,U4,IOPAD_X1Y53,PS_DDR_DQ21_502,95.677,96.638,,DDR_54576,DDR_dq[21],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,T4,IOPAD_X1Y52,PS_DDR_DQ20_502,92.377,93.305,,DDR_54576,DDR_dq[20],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,R1,IOPAD_X1Y51,PS_DDR_DQ19_502,87.833,88.716,,DDR_54576,DDR_dq[19],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,R3,IOPAD_X1Y50,PS_DDR_DQ18_502,76.040,76.804,,DDR_54576,DDR_dq[18],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,P3,IOPAD_X1Y49,PS_DDR_DQ17_502,91.181,92.097,,DDR_54576,DDR_dq[17],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,P1,IOPAD_X1Y48,PS_DDR_DQ16_502,81.372,82.190,,DDR_54576,DDR_dq[16],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,J1,IOPAD_X1Y47,PS_DDR_DQ15_502,62.941,63.573,,DDR_54576,DDR_dq[15],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,H1,IOPAD_X1Y46,PS_DDR_DQ14_502,58.466,59.054,,DDR_54576,DDR_dq[14],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,H2,IOPAD_X1Y45,PS_DDR_DQ13_502,55.551,56.109,,DDR_54576,DDR_dq[13],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,J3,IOPAD_X1Y44,PS_DDR_DQ12_502,63.680,64.320,,DDR_54576,DDR_dq[12],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,H3,IOPAD_X1Y43,PS_DDR_DQ11_502,56.774,57.345,,DDR_54576,DDR_dq[11],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,G3,IOPAD_X1Y42,PS_DDR_DQ10_502,56.601,57.169,,DDR_54576,DDR_dq[10],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,E3,IOPAD_X1Y41,PS_DDR_DQ9_502,80.808,81.620,,DDR_54576,DDR_dq[9],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,E2,IOPAD_X1Y40,PS_DDR_DQ8_502,77.032,77.806,,DDR_54576,DDR_dq[8],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,E1,IOPAD_X1Y39,PS_DDR_DQ7_502,95.431,96.390,,DDR_54576,DDR_dq[7],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,C1,IOPAD_X1Y38,PS_DDR_DQ6_502,97.302,98.279,,DDR_54576,DDR_dq[6],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
